date | value
2011-01-03 | 1000.01
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2011-01-10 | 0
2011-01-11 | 0.00001
2011-01-12 | 999999
2011-01-13 | 123456789
2011-01-14 | -123
2011-01-15 | text
2011-01-16 | 3.1415
2011-01-17 | 
2011-01-18 |
2011-01-19 | 2147483647
2011-01-20 | 2147483648
2011-01-21 | 1.1.1
2011-01-22 | 5
2011-01-22|5
2011-01-23 |    7
2011-01-24 |0.0
2011-01-25 | 10000000000
2011-01-26 | 0.0000000001
2011-02-01 | 1
2011-02-28 | 2
2011-02-29 | 3
2011-03-01 | 4
2011-04-31 | 5
2011-05-01 | 6
2011-06-31 | 7
2011-07-01 | 8
2011-08-01 | -0.1
2011-09-01 | 0.999999
2023-12-31 | 10
2024-01-01 | 11
2024-02-29 | 12
2024-13-01 | 13
2024-00-01 | 14
2024-01-32 | 15
2024-01-01 | 0.0000001
